State,State_Short,Total,Number,Percent
Alabama,AL,4063,779,19.2
Alaska,AK,499,57,11.4
Arizona,AZ,3521,484,13.7
Arkansas,AR,2411,472,19.6
California,CA,29765,4128,13.9
Colorado,CO,3367,461,13.7
Connecticut,CT,3265,196,6.0
Delaware,DE,690,48,6.9
D.C.,DC,570,120,21.1
Florida,FL,13179,1896,14.4
Georgia,GA,6349,1001,15.8
Hawaii,HI,1100,121,11.0
Idaho,ID,1048,157,14.9
Illinois,IL,11696,1606,13.7
Indiana,IN,5480,714,13.0
Iowa,IA,2784,289,10.4
Kansas,KS,2510,259,10.3
Kentucky,KY,3620,628,17.3
Louisiana,LA,4034,952,23.6
Maine,ME,1231,162,13.1
Maryland,MD,4727,468,9.9
Massachusetts,MA,5832,626,10.7
Michigan,MI,9187,1315,14.3
Minnesota,MN,4366,524,12.0
Mississippi,MS,2663,684,25.7
Missouri,MO,5238,700,13.4
Montana,MT,820,134,16.3
Nebraska,NE,1617,167,10.3
Nevada,NV,1218,119,9.8
New Hampshire,NH,1085,68,6.3
New Jersey,NJ,7741,711,9.2
New Mexico,NM,1524,319,20.9
New York,NY,18038,2571,14.3
North Carolina,NC,6377,829,13.0
North Dakota,ND,635,87,13.7
Ohio,OH,10890,1256,11.5
Oklahoma,OK,3091,481,15.6
Oregon,OR,2891,267,9.2
Pennsylvania,PA,12097,1328,11.0
Rhode Island,RI,946,71,7.5
South Carolina,SC,3391,548,16.2
South Dakota,SD,696,93,13.3
Tennessee,TN,4927,833,16.9
Texas,TX,16873,2684,15.9
Utah,UT,1739,143,8.2
Vermont,VT,564,61,10.9
Virginia,VA,6322,705,11.1
Washington,WA,4880,434,8.9
West Virginia,WV,1810,328,18.1
Wisconsin,WI,4815,448,9.3
Wyoming,WY,463,51,11.0
